,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL,ed_bool
13075,3366575,YuGiOh,Maximum Crisis,SPYRAL GEAR - Last Resort,,MACR-EN087,Rare,Near Mint 1st Edition,0.4,0.34,1.18,0.19,12,0,0.49,,False
13076,3397138,YuGiOh,Maximum Crisis,SPYRAL MISSION - Rescue,,MACR-EN089,Common,Near Mint Unlimited,0.16,,1.04,0.05,24,0,0.49,,False
13078,3397143,YuGiOh,Maximum Crisis,SPYRAL Sleeper,,MACR-EN086,Super Rare,Near Mint Unlimited,0.22,0.18,1.09,0.1,27,0,0.49,,True
13079,3366570,YuGiOh,Maximum Crisis,SPYRAL Sleeper,,MACR-EN086,Super Rare,Near Mint 1st Edition,0.23,0.22,1.09,0.1,70,0,0.49,,False
13080,3397158,YuGiOh,Maximum Crisis,Subterror Fiendess,,MACR-EN082,Super Rare,Near Mint Unlimited,0.26,,1.09,0.1,6,0,0.49,,True
13081,3366550,YuGiOh,Maximum Crisis,Subterror Fiendess,,MACR-EN082,Super Rare,Near Mint 1st Edition,0.28,0.33,1.23,0.24,38,0,0.49,,False
13082,3397163,YuGiOh,Maximum Crisis,Subterror Final Battle,,MACR-EN085,Rare,Near Mint Unlimited,0.28,0.33,1.15,0.16,8,0,0.49,,True
13083,3366565,YuGiOh,Maximum Crisis,Subterror Final Battle,,MACR-EN085,Rare,Near Mint 1st Edition,0.28,0.36,1.13,0.14,26,0,0.49,,False
13084,3397168,YuGiOh,Maximum Crisis,Supreme King Dragon Darkwurm,,MACR-EN019,Common,Near Mint Unlimited,0.5,,1.19,0.2,16,0,0.99,,True
13085,3366235,YuGiOh,Maximum Crisis,Supreme King Dragon Darkwurm,,MACR-EN019,Common,Near Mint 1st Edition,0.5,0.67,1.24,0.25,56,0,0.99,,False
13094,3397213,YuGiOh,Maximum Crisis,True Draco Apocalypse,,MACR-EN070,Common,Near Mint Unlimited,0.29,0.31,1.19,0.2,58,0,0.49,,True
13095,3366490,YuGiOh,Maximum Crisis,True Draco Apocalypse,,MACR-EN070,Common,Near Mint 1st Edition,0.36,0.49,1.19,0.2,166,0,0.49,,False
13109,3397253,YuGiOh,Maximum Crisis,Zefra Providence,,MACR-EN061,Rare,Near Mint Unlimited,0.44,,1.14,0.15,2,0,0.99,,True
13110,3366445,YuGiOh,Maximum Crisis,Zefra Providence,,MACR-EN061,Rare,Near Mint 1st Edition,0.53,0.66,1.32,0.33,17,0,1.24,,False
13115,3397278,YuGiOh,Maximum Crisis,Zoodiac Hammerkong,,MACR-EN047,Common,Near Mint Unlimited,0.3,,1.14,0.15,3,0,0.49,,True
13116,3366375,YuGiOh,Maximum Crisis,Zoodiac Hammerkong,,MACR-EN047,Common,Near Mint 1st Edition,0.35,0.36,1.18,0.19,151,0,0.49,,False
13118,4678837,YuGiOh,Maximum Gold,Anti-Magic Arrows,,MAGO-EN043,Premium Gold Rare,Near Mint 1st Edition,0.69,0.81,1.27,0.28,5,0,1.74,,False
13123,4679192,YuGiOh,Maximum Gold,Barrier Statue of the Abyss,,MAGO-EN111,Rare,Near Mint 1st Edition,0.27,0.23,1.08,0.09,37,0,0.49,,False
13126,4679202,YuGiOh,Maximum Gold,Barrier Statue of the Inferno,,MAGO-EN113,Rare,Near Mint 1st Edition,0.25,0.2,1.04,0.05,42,0,0.49,,False
13129,4678787,YuGiOh,Maximum Gold,"Beatrice, Lady of the Eternal",,MAGO-EN035,Premium Gold Rare,Near Mint 1st Edition,0.38,0.35,1.16,0.17,9,0,0.49,,False
13132,4679137,YuGiOh,Maximum Gold,"Buster Blader, the Destruction Swordmaster",,MAGO-EN100,Rare,Near Mint 1st Edition,0.25,0.25,1.08,0.09,21,0,0.49,,False
13133,4679142,YuGiOh,Maximum Gold,"Buster Blader, the Dragon Destroyer Swordsman",,MAGO-EN101,Rare,Near Mint 1st Edition,0.81,0.85,1.64,0.65,4,0,1.49,,False
13137,4678687,YuGiOh,Maximum Gold,Chaos Dragon Levianeer (Alternate Art),,MAGO-EN017,Premium Gold Rare,Near Mint 1st Edition,0.81,0.96,1.24,0.25,1,0,1.99,,False
13138,4679237,YuGiOh,Maximum Gold,Coach Soldier Wolfbark,,MAGO-EN120,Rare,Near Mint 1st Edition,0.13,,1.0,0.01,26,0,0.49,,False
13139,4679282,YuGiOh,Maximum Gold,Condemned Witch,,MAGO-EN129,Rare,Near Mint 1st Edition,0.19,0.2,1.09,0.1,18,0,0.49,,False
13141,4679252,YuGiOh,Maximum Gold,Cyber Dragon Core,,MAGO-EN123,Rare,Near Mint 1st Edition,0.26,0.25,1.08,0.09,30,0,0.49,,False
13145,4678772,YuGiOh,Maximum Gold,Dark Rebellion Xyz Dragon,,MAGO-EN032,Premium Gold Rare,Near Mint 1st Edition,0.72,0.99,1.29,0.3,4,0,0.99,,False
13146,4679177,YuGiOh,Maximum Gold,Darklord Contact,,MAGO-EN108,Rare,Near Mint 1st Edition,0.17,0.2,1.04,0.05,32,0,0.49,,False
13148,4679172,YuGiOh,Maximum Gold,Darklord Nasten,,MAGO-EN107,Rare,Near Mint 1st Edition,0.2,0.2,1.04,0.05,43,0,0.49,,False
13149,4679182,YuGiOh,Maximum Gold,Darklord Rebellion,,MAGO-EN109,Rare,Near Mint 1st Edition,0.21,0.2,1.03,0.04,27,0,0.49,,False
13150,4679187,YuGiOh,Maximum Gold,D.D. Warrior Lady,,MAGO-EN110,Rare,Near Mint 1st Edition,0.38,0.36,1.23,0.24,5,0,0.49,,False
13152,4679087,YuGiOh,Maximum Gold,Domain of the True Monarchs,,MAGO-EN090,Rare,Near Mint 1st Edition,0.23,0.2,1.04,0.05,3,0,0.49,,False
13153,4679347,YuGiOh,Maximum Gold,Dragon's Mirror,,MAGO-EN142,Rare,Near Mint 1st Edition,0.44,0.45,1.2,0.2,26,0,0.74,,False
13156,4679267,YuGiOh,Maximum Gold,Eater of Millions,,MAGO-EN126,Rare,Near Mint 1st Edition,0.27,0.25,1.06,0.07,21,0,0.49,,False
13160,4678692,YuGiOh,Maximum Gold,Fantastical Dragon Phantazmay (Alternate Art),,MAGO-EN018,Premium Gold Rare,Near Mint 1st Edition,0.78,0.9,1.29,0.3,1,0,0.99,,False
13161,4679002,YuGiOh,Maximum Gold,Fire Formation - Gyokkou,,MAGO-EN073,Rare,Near Mint 1st Edition,0.17,0.11,1.02,0.03,36,0,0.49,,False
13165,4678862,YuGiOh,Maximum Gold,Forbidden Chalice,,MAGO-EN048,Premium Gold Rare,Near Mint 1st Edition,0.99,1.0,1.58,0.59,1,0,0.99,,False
13166,4678727,YuGiOh,Maximum Gold,Gaia the Dragon Champion,,MAGO-EN025,Premium Gold Rare,Near Mint 1st Edition,0.54,0.63,1.19,0.2,1,0,0.49,,False
13175,4678662,YuGiOh,Maximum Gold,Ghost Sister & Spooky Dogwood (Alternate Art),,MAGO-EN013,Premium Gold Rare,Near Mint 1st Edition,0.88,1.0,1.38,0.39,1,0,1.49,,False
13176,4679227,YuGiOh,Maximum Gold,"Grapha, Dragon Lord of Dark World",,MAGO-EN118,Rare,Near Mint 1st Edition,0.22,0.2,1.03,0.04,50,0,0.49,,False
13178,4679297,YuGiOh,Maximum Gold,Harpie's Pet Phantasmal Dragon,,MAGO-EN132,Gold Rare,Near Mint 1st Edition,0.43,0.4,1.24,0.25,41,0,0.49,,False
13180,4679412,YuGiOh,Maximum Gold,"Hey, Trunade!",,MAGO-EN155,Rare,Near Mint 1st Edition,0.25,0.25,1.11,0.12,21,0,0.49,,False
13181,4679072,YuGiOh,Maximum Gold,Hidden Temples of Necrovalley,,MAGO-EN087,Rare,Near Mint 1st Edition,0.23,0.2,1.13,0.14,23,0,0.49,,False
13183,4679082,YuGiOh,Maximum Gold,Imperial Tombs of Necrovalley,,MAGO-EN089,Rare,Near Mint 1st Edition,0.24,0.2,1.03,0.04,3,0,0.49,,False
13184,4678592,YuGiOh,Maximum Gold,Infernity Mirage,,MAGO-EN005,Premium Gold Rare,Near Mint 1st Edition,0.25,0.21,1.09,0.1,16,0,0.49,,False
13188,4678872,YuGiOh,Maximum Gold,Kozmotown,,MAGO-EN050,Premium Gold Rare,Near Mint 1st Edition,0.21,0.24,1.05,0.06,15,0,0.49,,False
13190,4679422,YuGiOh,Maximum Gold,Lair of Darkness,,MAGO-EN157,Rare,Near Mint 1st Edition,0.29,0.24,1.09,0.1,32,0,0.49,,False
13192,4679312,YuGiOh,Maximum Gold,Linkuriboh,,MAGO-EN135,Rare,Near Mint 1st Edition,4.88,5.65,4.21,3.22,3,0,5.0,,False
13193,4679437,YuGiOh,Maximum Gold,Lose 1 Turn,,MAGO-EN160,Rare,Near Mint 1st Edition,0.22,0.16,1.04,0.05,42,0,0.49,,False
13194,4679407,YuGiOh,Maximum Gold,Lost World,,MAGO-EN154,Rare,Near Mint 1st Edition,0.28,0.25,1.09,0.1,30,0,0.49,,False
13195,4679337,YuGiOh,Maximum Gold,Machine Duplication,,MAGO-EN140,Rare,Near Mint 1st Edition,0.36,0.35,1.08,0.09,11,0,0.99,,False
13196,4678982,YuGiOh,Maximum Gold,Madolche Chateau,,MAGO-EN069,Rare,Near Mint 1st Edition,0.13,0.15,1.03,0.04,39,0,0.49,,False
13198,4679332,YuGiOh,Maximum Gold,Mage Power,,MAGO-EN139,Rare,Near Mint 1st Edition,0.32,0.29,1.12,0.13,30,0,0.49,,False
13199,4679397,YuGiOh,Maximum Gold,Magical Meltdown,,MAGO-EN152,Rare,Near Mint 1st Edition,1.08,1.1,1.68,0.69,1,0,2.24,,False
13200,4678752,YuGiOh,Maximum Gold,Martial Metal Marcher,,MAGO-EN030,Premium Gold Rare,Near Mint 1st Edition,0.32,0.38,1.13,0.14,13,0,0.49,,False
13202,4679322,YuGiOh,Maximum Gold,Mekk-Knight of the Morning Star,,MAGO-EN137,Rare,Near Mint 1st Edition,0.23,0.2,1.06,0.03,31,0,0.49,,False
13203,4679327,YuGiOh,Maximum Gold,Mind Control,,MAGO-EN138,Rare,Near Mint 1st Edition,0.31,0.25,1.17,0.18,25,0,0.49,,False
13204,4679377,YuGiOh,Maximum Gold,Miracle Contact,,MAGO-EN148,Rare,Near Mint 1st Edition,0.32,0.29,1.19,0.2,36,0,0.49,,False
13206,4679022,YuGiOh,Maximum Gold,Mistake,,MAGO-EN077,Rare,Near Mint 1st Edition,0.2,0.2,1.04,0.05,26,0,0.49,,False
13211,4679052,YuGiOh,Maximum Gold,Noble Knight Brothers,,MAGO-EN083,Rare,Near Mint 1st Edition,0.18,0.15,1.0,0.01,9,0,0.49,,False
13212,4679047,YuGiOh,Maximum Gold,Noble Knight Drystan,,MAGO-EN082,Rare,Near Mint 1st Edition,0.13,0.13,1.04,0.05,15,0,0.49,,False
13213,4678937,YuGiOh,Maximum Gold,Number 101: Silent Honor ARK,,MAGO-EN060,Rare,Near Mint 1st Edition,0.53,0.48,1.27,0.28,3,0,0.49,,False
13215,4678917,YuGiOh,Maximum Gold,Number 15: Gimmick Puppet Giant Grinder,,MAGO-EN056,Rare,Near Mint 1st Edition,0.2,0.2,1.08,0.09,58,0,0.49,,False
13216,4678922,YuGiOh,Maximum Gold,Number 39: Utopia Beyond,,MAGO-EN057,Rare,Near Mint 1st Edition,0.61,0.65,1.31,0.32,1,0,0.74,,False
13217,4678927,YuGiOh,Maximum Gold,Number 74: Master of Blades,,MAGO-EN058,Rare,Near Mint 1st Edition,0.2,0.19,1.04,0.05,72,0,0.49,,False
13218,4678932,YuGiOh,Maximum Gold,Number 87: Queen of the Night,,MAGO-EN059,Rare,Near Mint 1st Edition,0.2,0.15,1.04,0.05,41,0,0.49,,False
13219,4678942,YuGiOh,Maximum Gold,Number C101: Silent Honor DARK,,MAGO-EN061,Rare,Near Mint 1st Edition,0.3,0.25,1.05,0.06,38,0,0.49,,False
13220,4678952,YuGiOh,Maximum Gold,Number C107: Neo Galaxy-Eyes Tachyon Dragon,,MAGO-EN063,Rare,Near Mint 1st Edition,0.75,0.75,1.34,0.35,2,0,0.74,,False
13221,4678782,YuGiOh,Maximum Gold,Number S39: Utopia the Lightning,,MAGO-EN034,Premium Gold Rare,Near Mint 1st Edition,0.96,0.98,1.44,0.45,3,0,1.49,,False
13227,4678867,YuGiOh,Maximum Gold,Rank-Up-Magic - The Seventh One,,MAGO-EN049,Premium Gold Rare,Near Mint 1st Edition,0.21,0.13,1.0,0.01,27,0,0.49,,False
13231,4679222,YuGiOh,Maximum Gold,Scrap Recycler,,MAGO-EN117,Rare,Near Mint 1st Edition,0.28,0.25,1.13,0.14,19,0,0.74,,False
13232,4679402,YuGiOh,Maximum Gold,Set Rotation,,MAGO-EN153,Rare,Near Mint 1st Edition,0.26,0.24,1.19,0.16,25,0,0.49,,False
13234,4679247,YuGiOh,Maximum Gold,Silent Angler,,MAGO-EN122,Rare,Near Mint 1st Edition,0.19,0.15,1.06,0.07,6,0,0.49,,False
13237,4679302,YuGiOh,Maximum Gold,Skypalace Gangaridai,,MAGO-EN133,Rare,Near Mint 1st Edition,0.21,0.19,1.08,0.09,58,0,0.49,,False
13239,4679132,YuGiOh,Maximum Gold,Speedroid Red-Eyed Dice,,MAGO-EN099,Rare,Near Mint 1st Edition,0.14,0.1,1.03,0.04,13,0,0.49,,False
13240,4679127,YuGiOh,Maximum Gold,Speedroid Taketomborg,,MAGO-EN098,Rare,Near Mint 1st Edition,0.23,0.21,1.06,0.07,14,0,0.49,,False
13242,4679112,YuGiOh,Maximum Gold,Starlight Junktion,,MAGO-EN095,Rare,Near Mint 1st Edition,0.21,0.22,1.07,0.08,55,0,0.49,,False
13245,4679287,YuGiOh,Maximum Gold,Superdimensional Robot Galaxy Destroyer,,MAGO-EN130,Rare,Near Mint 1st Edition,0.2,0.17,1.03,0.04,59,0,0.49,,False
13247,4679432,YuGiOh,Maximum Gold,Tachyon Transmigration,,MAGO-EN159,Rare,Near Mint 1st Edition,0.29,0.3,1.05,0.06,6,0,0.49,,False
13248,4679367,YuGiOh,Maximum Gold,Temple of the Six,,MAGO-EN146,Rare,Near Mint 1st Edition,0.14,0.12,1.0,0.01,17,0,0.49,,False
13250,4679092,YuGiOh,Maximum Gold,The First Monarch,,MAGO-EN091,Rare,Near Mint 1st Edition,0.23,0.15,1.04,0.05,38,0,0.49,,False
13251,4679097,YuGiOh,Maximum Gold,The Monarchs Erupt,,MAGO-EN092,Rare,Near Mint 1st Edition,0.25,0.24,1.13,0.14,10,0,0.49,,False
13253,4679102,YuGiOh,Maximum Gold,The Prime Monarch,,MAGO-EN093,Rare,Near Mint 1st Edition,0.24,0.2,1.1,0.11,18,0,0.49,,False
13255,4679447,YuGiOh,Maximum Gold,There Can Be Only One,,MAGO-EN162,Rare,Near Mint 1st Edition,0.28,0.25,1.13,0.14,13,0,0.99,,False
13261,4679012,YuGiOh,Maximum Gold,Traptrix Dionaea,,MAGO-EN075,Rare,Near Mint 1st Edition,0.45,0.45,1.13,0.14,11,0,0.49,,False
13264,4679362,YuGiOh,Maximum Gold,Tuning,,MAGO-EN145,Rare,Near Mint 1st Edition,0.24,0.25,1.08,0.09,19,0,0.49,,False
13266,4679152,YuGiOh,Maximum Gold,Union Hangar,,MAGO-EN103,Rare,Near Mint 1st Edition,0.22,0.2,1.11,0.12,34,0,0.49,,False
13267,4679157,YuGiOh,Maximum Gold,Union Scramble,,MAGO-EN104,Rare,Near Mint 1st Edition,0.11,0.07,1.01,0.02,28,0,0.49,,False
13269,4678797,YuGiOh,Maximum Gold,Zoodiac Chakanine,,MAGO-EN037,Premium Gold Rare,Near Mint 1st Edition,1.03,1.18,1.3,0.31,7,0,0.74,,False
13270,4678792,YuGiOh,Maximum Gold,Zoodiac Drident,,MAGO-EN036,Premium Gold Rare,Near Mint 1st Edition,0.3,0.21,1.07,0.08,7,0,0.49,,False
13272,5303688,YuGiOh,Maximum Gold: El Dorado,Altergeist Kunquery,,MGED-EN094,Rare,Near Mint 1st Edition,0.12,0.07,1.0,0.01,1,0,0.49,,False
13274,5303628,YuGiOh,Maximum Gold: El Dorado,Altergeist Meluseek,,MGED-EN093,Rare,Near Mint 1st Edition,0.22,0.14,1.01,0.02,1,0,0.49,,False
13275,5303698,YuGiOh,Maximum Gold: El Dorado,Altergeist Multifaker,,MGED-EN095,Rare,Near Mint 1st Edition,0.19,0.16,1.0,0.01,2,0,0.49,,False
13276,5303623,YuGiOh,Maximum Gold: El Dorado,Altergeist Silquitous,,MGED-EN092,Rare,Near Mint 1st Edition,0.13,0.11,1.03,0.04,1,0,0.49,,False
13278,5304553,YuGiOh,Maximum Gold: El Dorado,"Aussa the Earth Charmer, Immovable",,MGED-EN121,Rare,Near Mint 1st Edition,0.18,0.12,1.11,0.12,1,0,0.49,,False
13280,5304968,YuGiOh,Maximum Gold: El Dorado,Black Dragon Collapserpent,,MGED-EN133,Rare,Near Mint 1st Edition,0.12,0.12,1.04,0.05,2,0,0.49,,False
13285,5305068,YuGiOh,Maximum Gold: El Dorado,Broken Line,,MGED-EN151,Rare,Near Mint 1st Edition,0.1,0.05,1.02,0.03,3,0,0.49,,False
13288,5305178,YuGiOh,Maximum Gold: El Dorado,Constellar Ptolemy M7,,MGED-EN139,Rare,Near Mint 1st Edition,0.1,0.08,1.03,0.04,3,0,0.49,,False
13289,5294663,YuGiOh,Maximum Gold: El Dorado,Cursed Eldland,,MGED-EN048,Premium Gold Rare,Near Mint 1st Edition,1.14,1.03,1.39,0.4,11,0,1.74,,False
13296,5304313,YuGiOh,Maximum Gold: El Dorado,Dragunity Knight - Romulus,,MGED-EN142,Rare,Near Mint 1st Edition,0.11,0.11,1.08,0.09,2,0,0.49,,False
13300,5304563,YuGiOh,Maximum Gold: El Dorado,"Eria the Water Charmer, Gentle",,MGED-EN122,Rare,Near Mint 1st Edition,0.12,0.11,1.09,0.1,2,0,0.49,,False
13301,5305073,YuGiOh,Maximum Gold: El Dorado,Eva,,MGED-EN136,Rare,Near Mint 1st Edition,0.08,0.08,1.01,0.02,3,0,0.49,,False
13313,5304533,YuGiOh,Maximum Gold: El Dorado,"Hiita the Fire Charmer, Ablaze",,MGED-EN119,Rare,Near Mint 1st Edition,0.16,0.15,1.09,0.1,1,0,0.49,,False
13314,5303013,YuGiOh,Maximum Gold: El Dorado,Hot Red Dragon Archfiend,,MGED-EN067,Rare,Near Mint 1st Edition,0.17,0.13,1.07,0.08,5,0,0.49,,False
13315,5303023,YuGiOh,Maximum Gold: El Dorado,Hot Red Dragon Archfiend Abyss,,MGED-EN068,Rare,Near Mint 1st Edition,0.17,0.14,1.08,0.09,1,0,0.49,,False
13316,5303078,YuGiOh,Maximum Gold: El Dorado,Hot Red Dragon Archfiend Bane,,MGED-EN069,Rare,Near Mint 1st Edition,0.14,0.12,1.02,0.03,1,0,0.49,,False
13320,5294443,YuGiOh,Maximum Gold: El Dorado,Invoked Mechaba,,MGED-EN025,Premium Gold Rare,Near Mint 1st Edition,0.37,0.37,1.14,0.15,1,0,1.74,,False
13323,5304853,YuGiOh,Maximum Gold: El Dorado,Kagemucha Knight,,MGED-EN131,Rare,Near Mint 1st Edition,0.15,0.1,1.03,0.03,1,0,0.49,,False
13327,5294528,YuGiOh,Maximum Gold: El Dorado,Magical Dimension,,MGED-EN040,Premium Gold Rare,Near Mint 1st Edition,0.21,0.22,1.03,0.04,4,0,0.49,,False
13328,5304988,YuGiOh,Maximum Gold: El Dorado,Majesty's Fiend,,MGED-EN134,Rare,Near Mint 1st Edition,0.16,0.13,1.07,0.08,2,0,0.49,,False
13331,5303483,YuGiOh,Maximum Gold: El Dorado,Number 1: Numeron Gate Ekam,,MGED-EN083,Rare,Near Mint 1st Edition,0.23,0.23,1.01,0.02,1,0,0.49,,False
13337,5303588,YuGiOh,Maximum Gold: El Dorado,Number 9: Dyson Sphere,,MGED-EN089,Rare,Near Mint 1st Edition,0.11,0.08,1.0,0.01,1,0,0.49,,False
13338,5303423,YuGiOh,Maximum Gold: El Dorado,Number C1: Numeron Chaos Gate Sunya,,MGED-EN082,Rare,Near Mint 1st Edition,0.13,0.1,1.01,0.02,1,0,0.49,,False
13339,5294473,YuGiOh,Maximum Gold: El Dorado,Number C1000: Numerounius,,MGED-EN031,Premium Gold Rare,Near Mint 1st Edition,0.35,0.31,1.1,0.11,2,0,0.74,,False
13344,5294693,YuGiOh,Maximum Gold: El Dorado,Numeron Storm,,MGED-EN051,Premium Gold Rare,Near Mint 1st Edition,0.18,0.1,1.02,0.03,1,0,0.49,,False
13345,5303413,YuGiOh,Maximum Gold: El Dorado,Numeron Wall,,MGED-EN081,Rare,Near Mint 1st Edition,0.15,0.12,1.04,0.05,2,0,0.49,,False
13348,5304133,YuGiOh,Maximum Gold: El Dorado,Prank-Kids Battle Butler,,MGED-EN113,Rare,Near Mint 1st Edition,0.13,0.14,1.03,0.04,1,0,0.49,,False
13349,5304393,YuGiOh,Maximum Gold: El Dorado,Prank-Kids Bow-Wow-Bark,,MGED-EN115,Rare,Near Mint 1st Edition,0.12,0.1,1.08,0.09,1,0,0.49,,False
13350,5304193,YuGiOh,Maximum Gold: El Dorado,Prank-Kids Dodo-Doodle-Doo,,MGED-EN114,Rare,Near Mint 1st Edition,0.15,0.14,1.01,0.02,1,0,0.74,,False
13352,5303973,YuGiOh,Maximum Gold: El Dorado,Prank-Kids Fansies,,MGED-EN109,Rare,Near Mint 1st Edition,0.16,0.1,1.07,0.08,3,0,0.49,,False
13353,5303913,YuGiOh,Maximum Gold: El Dorado,Prank-Kids Lampsies,,MGED-EN107,Rare,Near Mint 1st Edition,0.16,0.15,1.03,0.04,2,0,0.49,,False
13354,5304523,YuGiOh,Maximum Gold: El Dorado,Prank-Kids Pandemonium,,MGED-EN118,Rare,Near Mint 1st Edition,0.17,0.1,1.04,0.05,3,0,0.49,,False
13355,5294633,YuGiOh,Maximum Gold: El Dorado,Prank-Kids Place,,MGED-EN045,Premium Gold Rare,Near Mint 1st Edition,0.2,0.22,1.02,0.03,1,0,0.99,,False
13356,5304513,YuGiOh,Maximum Gold: El Dorado,Prank-Kids Pranks,,MGED-EN117,Rare,Near Mint 1st Edition,0.14,0.15,1.01,0.02,2,0,0.49,,False
13363,5305183,YuGiOh,Maximum Gold: El Dorado,Raidraptor - Ultimate Falcon,,MGED-EN140,Rare,Near Mint 1st Edition,0.19,0.15,1.06,0.07,1,0,0.49,,False
13365,5305148,YuGiOh,Maximum Gold: El Dorado,Rainbow Neos,,MGED-EN137,Rare,Near Mint 1st Edition,0.24,0.22,1.09,0.1,1,0,0.49,,False
13371,5294788,YuGiOh,Maximum Gold: El Dorado,Scrap Dragon,,MGED-EN060,Rare,Near Mint 1st Edition,0.14,0.1,1.0,0.01,3,0,0.49,,False
13372,5294783,YuGiOh,Maximum Gold: El Dorado,Scrap Golem,,MGED-EN059,Rare,Near Mint 1st Edition,0.18,0.1,1.04,0.05,3,0,0.49,,False
13373,5297253,YuGiOh,Maximum Gold: El Dorado,Scrap Wyvern,,MGED-EN061,Rare,Near Mint 1st Edition,0.2,0.15,1.12,0.13,6,0,0.49,,False
13376,5294713,YuGiOh,Maximum Gold: El Dorado,Starlight Road,,MGED-EN053,Premium Gold Rare,Near Mint 1st Edition,0.17,0.1,1.04,0.05,5,0,0.49,,False
13379,5297268,YuGiOh,Maximum Gold: El Dorado,Super Express Bullet Train,,MGED-EN062,Rare,Near Mint 1st Edition,0.19,0.15,1.09,0.1,5,0,0.49,,False
13386,5303703,YuGiOh,Maximum Gold: El Dorado,The Weather Painter Rain,,MGED-EN096,Rare,Near Mint 1st Edition,0.12,0.09,1.03,0.04,1,0,0.49,,False
13388,5294393,YuGiOh,Maximum Gold: El Dorado,The Weather Painter Snow,,MGED-EN016,Premium Gold Rare,Near Mint 1st Edition,0.22,0.15,1.07,0.08,4,0,0.74,,False
13389,5303708,YuGiOh,Maximum Gold: El Dorado,The Weather Painter Thunder,,MGED-EN097,Rare,Near Mint 1st Edition,0.13,0.13,1.05,0.06,2,0,0.49,,False
13391,5294453,YuGiOh,Maximum Gold: El Dorado,"Trishula, Dragon of the Ice Barrier",,MGED-EN027,Premium Gold Rare,Near Mint 1st Edition,0.25,0.2,1.09,0.1,7,0,0.49,,False
13397,5304908,YuGiOh,Maximum Gold: El Dorado,White Dragon Wyverburster,,MGED-EN132,Rare,Near Mint 1st Edition,0.13,0.13,1.02,0.03,1,0,0.49,,False
13398,5303108,YuGiOh,Maximum Gold: El Dorado,"Zefraniu, Secret of the Yang Zing",,MGED-EN072,Rare,Near Mint 1st Edition,0.11,0.06,1.01,0.02,1,0,0.49,,False
13399,5303093,YuGiOh,Maximum Gold: El Dorado,"Zefraxi, Treasure of the Yang Zing",,MGED-EN071,Rare,Near Mint 1st Edition,0.11,0.05,1.02,0.03,3,0,0.49,,False
13401,7014567,YuGiOh,Maze of Memories,"Alsei, the Sylvan High Protector",,MAZE-EN052,Super Rare,Near Mint 1st Edition,0.12,0.07,1.04,0.05,25,0,0.49,,False
13402,7014551,YuGiOh,Maze of Memories,Ancient Fairy Dragon,,MAZE-EN050,Rare,Near Mint 1st Edition,0.18,0.16,1.04,0.04,20,0,0.49,,False
13403,7014504,YuGiOh,Maze of Memories,Angel of Blue Tears,,MAZE-EN029,Rare,Near Mint 1st Edition,0.12,0.07,1.0,0.01,24,0,0.49,,False
13404,7014236,YuGiOh,Maze of Memories,Barian Untopia,,MAZE-EN022,Rare,Near Mint 1st Edition,0.09,0.07,1.0,0.01,25,0,0.49,,False
13406,7014276,YuGiOh,Maze of Memories,Battle Royal Mode - Joining,,MAZE-EN026,Rare,Near Mint 1st Edition,0.03,0.03,1.0,0.01,28,0,0.49,,False
13408,7014416,YuGiOh,Maze of Memories,Blackwing - Elphin the Raven,,MAZE-EN038,Rare,Near Mint 1st Edition,0.05,0.03,1.0,0.01,29,0,0.49,,False
13409,7014411,YuGiOh,Maze of Memories,Blackwing - Kalut the Moon Shadow,,MAZE-EN037,Rare,Near Mint 1st Edition,0.11,0.1,1.02,0.03,24,0,0.49,,False
13410,7014432,YuGiOh,Maze of Memories,Blackwing - Zephyros the Elite,,MAZE-EN039,Rare,Near Mint 1st Edition,0.13,0.07,1.01,0.02,23,0,0.49,,False
13411,7014611,YuGiOh,Maze of Memories,Burial from a Different Dimension,,MAZE-EN057,Rare,Near Mint 1st Edition,0.1,0.08,1.0,0.01,27,0,0.49,,False
13412,7014643,YuGiOh,Maze of Memories,Chaos Form,,MAZE-EN061,Rare,Near Mint 1st Edition,0.06,0.06,1.0,0.01,24,0,0.49,,False
13413,7014600,YuGiOh,Maze of Memories,Cost Down,,MAZE-EN055,Rare,Near Mint 1st Edition,0.07,0.05,1.0,0.01,12,0,0.49,,False
13414,7014617,YuGiOh,Maze of Memories,Court of Justice,,MAZE-EN058,Rare,Near Mint 1st Edition,0.06,0.01,1.0,0.01,27,0,0.49,,False
13415,7014715,YuGiOh,Maze of Memories,Deep Dark Trap Hole,,MAZE-EN067,Rare,Near Mint 1st Edition,0.09,0.05,1.0,0.01,26,0,0.49,,False
13416,7014141,YuGiOh,Maze of Memories,Double Attack! Wind and Thunder!!,,MAZE-EN008,Rare,Near Mint 1st Edition,0.16,0.14,1.07,0.08,19,0,0.49,,False
13417,7014170,YuGiOh,Maze of Memories,Duel Academy,,MAZE-EN013,Ultra Rare,Near Mint 1st Edition,0.8,0.97,1.4,0.41,1,0,1.99,,False
13418,7014189,YuGiOh,Maze of Memories,Evolution End Burst,,MAZE-EN015,Super Rare,Near Mint 1st Edition,0.19,0.07,1.0,0.01,19,0,0.49,,False
